"","1","2","3","4","5","catch","name"
"1",31.1018135172822,23.0407901498514,17.0690371619174,12.6450537390452,36.143305428703,14,"name"
"2",30.5922216079544,19.9406112811662,14.7723681686218,10.9436395019359,31.2801600674957,0,"name"
"3",30.592217882468,22.6632525137911,14.7723533954434,10.9436285576957,31.2801287855773,0,"name"
"4",30.7200719450442,22.6632497538857,16.7893336118587,10.9436176134669,31.2800975037008,0,"name"
"5",30.8099270629846,22.7579662783085,16.7893315672725,12.4378318142445,31.2800662218639,0,"name"
"6",30.8779956784127,22.8245325203303,16.859499224193,12.4378302995793,32.3869830462682,0,"name"
"7",30.9296881994644,22.8749589404668,16.9088126598489,12.4898117263443,33.2070052564065,0,"name"
"8",30.9691482484096,22.913253663638,16.9461694333309,12.5263439814683,33.8530007930937,0,"name"
"9",30.999386388454,22.9424863576512,16.9745388336411,12.5540185322535,34.3586293117324,0,"name"
"10",31.0226271092184,22.9648873003535,16.9961949243485,12.5750350798955,34.753709547605,0,"name"
"11",31.0405310978425,22.9821044325395,17.0127899342668,12.5910782904361,35.0619613181306,0,"name"
"12",31.0543486164407,22.9953680202707,17.0255446867426,12.6033721638614,35.3022047087233,0,"name"
"13",31.0650272452709,23.005604279576,17.0353705843791,12.6128211074463,35.4892887282146,0,"name"
"14",31.0732889657354,23.013515194474,17.0429537842004,12.6201003041703,35.6348837826228,0,"name"
"15",31.0796861655428,23.0196356214075,17.0488143282383,12.625718071151,35.7481357000764,0,"name"
